Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.0707,0.0631,1.39,,,,,,,,,-0.2438,0.1193,0.066,0.1363
0.0707,0.0601,1.41,,,,,,,,,0.193,0.1094,0.0595,0.1245
0.0707,0.0573,1.43,,,,,,,,,-0.1654,0.1004,0.0524,0.1133
0.0707,0.0547,1.45,,,,,,,,,-0.0185,0.0907,0.0493,0.1032
0.0707,0.0524,1.47,,,,,,,,,-0.1601,0.08,0.0467,0.0926
0.0707,0.0502,1.49,,,,,,,,,0.006,0.0689,0.0426,0.081
0.0707,0.0481,1.51,,,,,,,,,-0.0209,0.0667,0.0388,0.0772
0.0707,0.0462,1.53,,,,,,,,,0.0361,0.0697,0.0365,0.0787
0.0707,0.0444,1.55,,,,,,,,,0.078,0.0731,0.0346,0.0809
0.0707,0.0428,1.57,,,,,,,,,-0.0092,0.0809,0.0292,0.086
0.0707,0.0412,1.59,,,,,,,,,-0.1307,0.0794,0.0253,0.0833
0.0707,0.0397,1.61,,,,,,,,,-0.1987,0.082,0.0238,0.0854
0.0707,0.0383,1.63,,,,,,,,,-0.0135,0.0772,0.0192,0.0796
0.0707,0.037,1.65,,,,,,,,,-0.1093,0.0841,0.0205,0.0866
0.0844,0.1941,1.11,,,,,,,,,0.3039,0.9276,0.5626,1.0849
0.0844,0.176,1.13,,,,,,,,,0.511,0.452,0.3578,0.5765
0.0844,0.1607,1.15,,,,,,,,,-0.3449,0.2601,0.2402,0.354
0.0844,0.1477,1.17,,,,,,,,,-0.448,0.165,0.1505,0.2233
0.0844,0.1364,1.19,,,,,,,,,-0.2799,0.112,0.1038,0.1527
0.0844,0.1266,1.21,,,,,,,,,-0.4414,0.0896,0.0881,0.1257
0.0844,0.1179,1.23,,,,,,,,,-0.3122,0.0862,0.0802,0.1177
0.0844,0.1103,1.25,,,,,,,,,-0.3097,0.0882,0.0856,0.1229
0.0844,0.1035,1.27,,,,,,,,,-0.1227,0.0984,0.091,0.134
0.0844,0.0974,1.29,,,,,,,,,-0.2225,0.1088,0.0982,0.1466
0.0844,0.0919,1.31,,,,,,,,,-0.0832,0.1185,0.0984,0.154
0.0844,0.0869,1.33,,,,,,,,,-0.0655,0.1243,0.0946,0.1562
0.0844,0.0823,1.35,,,,,,,,,-0.0806,0.1233,0.0868,0.1508
0.0844,0.0782,1.37,,,,,,,,,0.0217,0.1171,0.0765,0.1399
0.0844,0.0744,1.39,,,,,,,,,-0.0024,0.1097,0.0667,0.1284
0.0844,0.0709,1.41,,,,,,,,,0.0578,0.1045,0.0584,0.1197
0.0844,0.0676,1.43,,,,,,,,,-0.1135,0.0966,0.0508,0.1091
0.0844,0.0647,1.45,,,,,,,,,-0.0434,0.09,0.0459,0.101
0.0844,0.0619,1.47,,,,,,,,,-0.2401,0.0772,0.0427,0.0882
0.0844,0.0593,1.49,,,,,,,,,-0.1242,0.0665,0.0378,0.0765
0.0844,0.0569,1.51,,,,,,,,,-0.1164,0.0628,0.0346,0.0717
0.0844,0.0547,1.53,,,,,,,,,-0.0401,0.067,0.0316,0.0741
0.0844,0.0526,1.55,,,,,,,,,0.0604,0.0748,0.0304,0.0807
0.0844,0.0506,1.57,,,,,,,,,0.1317,0.0781,0.0291,0.0833
0.0844,0.0488,1.59,,,,,,,,,-0.0447,0.0796,0.0227,0.0828
0.0844,0.047,1.61,,,,,,,,,0.0837,0.08,0.0217,0.0829
0.0844,0.0454,1.63,,,,,,,,,-0.0311,0.079,0.0187,0.0812
0.0844,0.0438,1.65,,,,,,,,,0.004,0.0763,0.0189,0.0786
0.101,0.2238,1.11,,,,,,,,,0.2934,0.8072,0.5743,0.9907
0.101,0.2036,1.13,,,,,,,,,0.1228,0.4061,0.3653,0.5462
0.101,0.1864,1.15,,,,,,,,,-0.1082,0.2361,0.2353,0.3333
0.101,0.1717,1.17,,,,,,,,,-0.0984,0.161,0.1451,0.2167
0.101,0.159,1.19,,,,,,,,,-0.4573,0.1114,0.1077,0.1549
0.101,0.1478,1.21,,,,,,,,,-0.2414,0.0902,0.0832,0.1227
0.101,0.1379,1.23,,,,,,,,,-0.3803,0.0813,0.0826,0.1159
0.101,0.1292,1.25,,,,,,,,,-0.2691,0.0846,0.0851,0.12
0.101,0.1214,1.27,,,,,,,,,-0.2713,0.0928,0.0943,0.1323
0.101,0.1143,1.29,,,,,,,,,-0.0921,0.0979,0.098,0.1385
0.101,0.108,1.31,,,,,,,,,-0.0091,0.1106,0.0997,0.1489
0.101,0.1022,1.33,,,,,,,,,0.1359,0.112,0.0958,0.1474
0.101,0.097,1.35,,,,,,,,,-0.0239,0.1155,0.0887,0.1456
0.101,0.0921,1.37,,,,,,,,,-0.2712,0.1107,0.0797,0.1364
0.101,0.0877,1.39,,,,,,,,,0.0973,0.1098,0.0683,0.1293
0.101,0.0837,1.41,,,,,,,,,0.0803,0.1031,0.0588,0.1187
0.101,0.0799,1.43,,,,,,,,,-0.0116,0.094,0.0505,0.1067
0.101,0.0764,1.45,,,,,,,,,0.1392,0.0848,0.0448,0.0959
0.101,0.0732,1.47,,,,,,,,,-0.0341,0.0786,0.038,0.0873
0.101,0.0702,1.49,,,,,,,,,0.2157,0.0716,0.0351,0.0797
0.101,0.0674,1.51,,,,,,,,,0.1277,0.0663,0.0309,0.0731
0.101,0.0647,1.53,,,,,,,,,-0.0723,0.067,0.0281,0.0727
0.101,0.0623,1.55,,,,,,,,,0.0497,0.0711,0.0267,0.0759
0.101,0.06,1.57,,,,,,,,,0.1439,0.0744,0.0272,0.0792
0.101,0.0578,1.59,,,,,,,,,-0.0454,0.0776,0.0223,0.0807
0.101,0.0558,1.61,,,,,,,,,0.049,0.0802,0.0212,0.083
0.101,0.0538,1.63,,,,,,,,,0.1146,0.073,0.0207,0.0759
0.12,0.2551,1.11,,,,,,,,,-0.099,0.7716,0.5934,0.9734
0.12,0.2329,1.13,,,,,,,,,0.7889,0.4061,0.3593,0.5422
0.12,0.214,1.15,,,,,,,,,-0.1576,0.2379,0.2345,0.334
0.12,0.1976,1.17,,,,,,,,,-0.3647,0.1634,0.1444,0.2181
0.12,0.1834,1.19,,,,,,,,,-0.3677,0.1142,0.1062,0.1559
0.12,0.1708,1.21,,,,,,,,,-0.3655,0.0919,0.089,0.1279
0.12,0.1597,1.23,,,,,,,,,-0.233,0.0835,0.0789,0.1149
0.12,0.1499,1.25,,,,,,,,,-0.3601,0.0849,0.0892,0.1231
0.12,0.141,1.27,,,,,,,,,-0.1021,0.0982,0.0917,0.1344
0.12,0.133,1.29,,,,,,,,,-0.1973,0.1077,0.1011,0.1477
0.12,0.1257,1.31,,,,,,,,,-0.093,0.118,0.1016,0.1557
0.12,0.1191,1.33,,,,,,,,,0.2203,0.1185,0.0966,0.1529
0.12,0.1131,1.35,,,,,,,,,0.1823,0.1188,0.0891,0.1485
0.12,0.1076,1.37,,,,,,,,,0.252,0.1146,0.0789,0.1391
0.12,0.1025,1.39,,,,,,,,,0.1946,0.1122,0.0689,0.1317
0.12,0.0979,1.41,,,,,,,,,0.0236,0.1044,0.0593,0.1201
0.12,0.0935,1.43,,,,,,,,,-0.0655,0.0966,0.0502,0.1089
0.12,0.0895,1.45,,,,,,,,,-0.0962,0.0899,0.0423,0.0994
0.12,0.0858,1.47,,,,,,,,,0.0561,0.0786,0.0354,0.0862
0.12,0.0823,1.49,,,,,,,,,0.2203,0.0725,0.0309,0.0788
0.12,0.079,1.51,,,,,,,,,0.0462,0.0672,0.0262,0.0721
0.12,0.076,1.53,,,,,,,,,0.0093,0.0701,0.0246,0.0743
0.12,0.0731,1.55,,,,,,,,,0.051,0.0743,0.0247,0.0783
0.12,0.0705,1.57,,,,,,,,,0.0077,0.0789,0.0237,0.0824
0.12,0.0679,1.59,,,,,,,,,-0.0748,0.0765,0.0228,0.0798
0.12,0.0656,1.61,,,,,,,,,0.1088,0.0759,0.0229,0.0793
0.12,0.0633,1.63,,,,,,,,,-0.0417,0.0701,0.0195,0.0728
0.144,0.2913,1.11,,,,,,,,,-0.7596,0.7261,0.6282,0.9601
0.144,0.2671,1.13,,,,,,,,,0.2673,0.3891,0.3705,0.5373
0.144,0.2462,1.15,,,,,,,,,0.3359,0.2377,0.2302,0.3309
0.144,0.2281,1.17,,,,,,,,,-0.2889,0.168,0.1407,0.2191
0.144,0.2123,1.19,,,,,,,,,-0.3764,0.1207,0.1086,0.1624
0.144,0.1982,1.21,,,,,,,,,-0.4849,0.0952,0.1007,0.1386
0.144,0.1858,1.23,,,,,,,,,-0.3091,0.0855,0.0841,0.1199
0.144,0.1746,1.25,,,,,,,,,-0.2064,0.0882,0.0849,0.1224
0.144,0.1645,1.27,,,,,,,,,-0.1087,0.0949,0.0918,0.132
0.144,0.1554,1.29,,,,,,,,,-0.159,0.1087,0.1015,0.1487
0.144,0.1472,1.31,,,,,,,,,0.0325,0.1165,0.1008,0.1541
0.144,0.1396,1.33,,,,,,,,,0.0162,0.1235,0.0988,0.1582
0.144,0.1327,1.35,,,,,,,,,0.129,0.1189,0.0906,0.1495
0.144,0.1264,1.37,,,,,,,,,0.1258,0.1211,0.0805,0.1454
0.144,0.1206,1.39,,,,,,,,,0.1658,0.1214,0.0701,0.1402
0.144,0.1152,1.41,,,,,,,,,0.1453,0.105,0.0606,0.1212
0.144,0.1102,1.43,,,,,,,,,0.0067,0.098,0.0515,0.1107
0.144,0.1055,1.45,,,,,,,,,0.0776,0.0869,0.043,0.097
0.144,0.1012,1.47,,,,,,,,,-0.0619,0.0808,0.0346,0.0879
0.144,0.0971,1.49,,,,,,,,,-0.0127,0.0707,0.0284,0.0762
0.144,0.0934,1.51,,,,,,,,,0.0686,0.0657,0.0252,0.0704
0.144,0.0898,1.53,,,,,,,,,0.0098,0.0654,0.024,0.0697
0.144,0.0865,1.55,,,,,,,,,0.1077,0.0678,0.0255,0.0724
0.144,0.0834,1.57,,,,,,,,,0.1499,0.0674,0.0262,0.0723
0.144,0.0804,1.59,,,,,,,,,0.0567,0.072,0.0241,0.0759
0.144,0.0777,1.61,,,,,,,,,0.0439,0.0674,0.0227,0.0711
0.171,0.328,1.11,,,,,,,,,-0.019,0.7302,0.6111,0.9522
0.171,0.302,1.13,,,,,,,,,-0.1143,0.3792,0.3842,0.5398
0.171,0.2795,1.15,,,,,,,,,-0.3239,0.2364,0.2316,0.3309
0.171,0.2598,1.17,,,,,,,,,-0.2802,0.1612,0.1386,0.2126
0.171,0.2424,1.19,,,,,,,,,-0.1859,0.1108,0.1001,0.1493
0.171,0.227,1.21,,,,,,,,,-0.5902,0.0897,0.1195,0.1494
0.171,0.2132,1.23,,,,,,,,,-0.2928,0.0804,0.0858,0.1176
0.171,0.2008,1.25,,,,,,,,,-0.23,0.0872,0.0872,0.1233
0.171,0.1895,1.27,,,,,,,,,0.0311,0.0943,0.0889,0.1296
0.171,0.1794,1.29,,,,,,,,,-0.2694,0.1028,0.1078,0.149
0.171,0.1701,1.31,,,,,,,,,-0.0783,0.1083,0.1028,0.1493
0.171,0.1616,1.33,,,,,,,,,-0.0371,0.1119,0.0998,0.1499
0.171,0.1538,1.35,,,,,,,,,0.2618,0.1115,0.0901,0.1434
0.171,0.1466,1.37,,,,,,,,,0.1391,0.1022,0.0804,0.13
0.171,0.14,1.39,,,,,,,,,0.0503,0.0908,0.0711,0.1153
0.171,0.1339,1.41,,,,,,,,,0.0671,0.0839,0.0617,0.1041
0.171,0.1282,1.43,,,,,,,,,0.2276,0.0802,0.0528,0.096
0.171,0.1229,1.45,,,,,,,,,0.072,0.0692,0.0443,0.0822
0.171,0.1179,1.47,,,,,,,,,0.0814,0.0594,0.0356,0.0693
0.171,0.1133,1.49,,,,,,,,,0.0882,0.0488,0.029,0.0568
0.171,0.109,1.51,,,,,,,,,0.1237,0.0446,0.0261,0.0517
0.171,0.1049,1.53,,,,,,,,,0.2094,0.0422,0.0271,0.0502
0.171,0.1011,1.55,,,,,,,,,0.0992,0.0415,0.0268,0.0494
0.171,0.0975,1.57,,,,,,,,,0.1102,0.043,0.027,0.0508
0.171,0.0941,1.59,,,,,,,,,0.0924,0.0435,0.0262,0.0508
0.171,0.0909,1.61,,,,,,,,,0.1174,0.0419,0.0252,0.0489
0.205,0.3691,1.11,,,,,,,,,0.639,0.5987,0.5943,0.8436
0.205,0.3416,1.13,,,,,,,,,0.1313,0.3056,0.3796,0.4873
0.205,0.3174,1.15,,,,,,,,,-0.1307,0.1813,0.2286,0.2918
0.205,0.2962,1.17,,,,,,,,,-0.4535,0.1153,0.1419,0.1828
0.205,0.2773,1.19,,,,,,,,,-0.5255,0.0794,0.1331,0.155
0.205,0.2604,1.21,,,,,,,,,-0.4588,0.0601,0.1137,0.1286
0.205,0.2452,1.23,,,,,,,,,-0.4816,0.056,0.111,0.1243
0.205,0.2314,1.25,,,,,,,,,-0.2742,0.0571,0.0931,0.1092
0.205,0.219,1.27,,,,,,,,,-0.093,0.0605,0.0912,0.1094
0.205,0.2076,1.29,,,,,,,,,-0.0693,0.0649,0.0992,0.1185
0.205,0.1972,1.31,,,,,,,,,-0.0877,0.0692,0.1034,0.1244
0.205,0.1877,1.33,,,,,,,,,0.0196,0.0714,0.0982,0.1214
0.205,0.1789,1.35,,,,,,,,,0.0306,0.0684,0.0908,0.1137
0.205,0.1708,1.37,,,,,,,,,0.1488,0.0628,0.0803,0.1019
0.205,0.1633,1.39,,,,,,,,,0.142,0.0578,0.0713,0.0918
0.205,0.1563,1.41,,,,,,,,,0.1157,0.0545,0.0632,0.0835
0.205,0.1498,1.43,,,,,,,,,0.1788,0.0504,0.0553,0.0748
0.205,0.1438,1.45,,,,,,,,,0.1135,0.044,0.0472,0.0645
0.205,0.1381,1.47,,,,,,,,,0.1064,0.0381,0.0387,0.0543
0.205,0.1328,1.49,,,,,,,,,0.1848,0.0331,0.0318,0.0459
0.205,0.1279,1.51,,,,,,,,,0.1812,0.0303,0.0287,0.0417
0.205,0.1232,1.53,,,,,,,,,0.1593,0.0295,0.0288,0.0412
0.205,0.1188,1.55,,,,,,,,,0.1724,0.0309,0.0299,0.043
0.205,0.1146,1.57,,,,,,,,,0.1198,0.0323,0.0295,0.0437
0.205,0.1107,1.59,,,,,,,,,0.0825,0.0327,0.0281,0.0431
0.244,0.4105,1.11,,,,,,,,,0.77,0.48,0.5932,0.7631
0.244,0.3817,1.13,,,,,,,,,-0.184,0.2448,0.3835,0.455
0.244,0.3563,1.15,,,,,,,,,0.0042,0.1545,0.2299,0.277
0.244,0.3337,1.17,,,,,,,,,-0.3099,0.1003,0.1341,0.1675
0.244,0.3135,1.19,,,,,,,,,-0.3759,0.0648,0.1201,0.1365
0.244,0.2953,1.21,,,,,,,,,-0.5233,0.0511,0.1329,0.1424
0.244,0.2788,1.23,,,,,,,,,-0.4825,0.0447,0.1208,0.1288
0.244,0.2638,1.25,,,,,,,,,-0.3284,0.0453,0.1036,0.1131
0.244,0.2502,1.27,,,,,,,,,-0.1678,0.0475,0.0963,0.1074
0.244,0.2377,1.29,,,,,,,,,-0.025,0.0545,0.0964,0.1107
0.244,0.2263,1.31,,,,,,,,,-0.066,0.0565,0.1016,0.1163
0.244,0.2157,1.33,,,,,,,,,0.0947,0.0552,0.0952,0.11
0.244,0.2059,1.35,,,,,,,,,0.1347,0.0585,0.088,0.1057
0.244,0.1969,1.37,,,,,,,,,0.0374,0.0568,0.0802,0.0983
0.244,0.1885,1.39,,,,,,,,,0.2495,0.0543,0.0722,0.0903
0.244,0.1807,1.41,,,,,,,,,0.1246,0.0498,0.0653,0.0821
0.244,0.1734,1.43,,,,,,,,,0.1928,0.0447,0.059,0.074
0.244,0.1666,1.45,,,,,,,,,0.2143,0.0397,0.0521,0.0655
0.244,0.1602,1.47,,,,,,,,,0.1756,0.0355,0.0438,0.0564
0.244,0.1542,1.49,,,,,,,,,0.2458,0.0316,0.0371,0.0487
0.244,0.1486,1.51,,,,,,,,,0.2454,0.0288,0.0327,0.0436
0.244,0.1433,1.53,,,,,,,,,0.2429,0.0286,0.0328,0.0435
0.244,0.1383,1.55,,,,,,,,,0.2052,0.0289,0.034,0.0446
0.244,0.1335,1.57,,,,,,,,,0.1834,0.0316,0.0335,0.0461
0.244,0.1291,1.59,,,,,,,,,0.106,0.0322,0.0319,0.0453
0.292,0.4249,1.13,,,,,,,,,-0.0313,0.232,0.3904,0.4541
0.292,0.3985,1.15,,,,,,,,,0.019,0.1327,0.2323,0.2675
0.292,0.3748,1.17,,,,,,,,,-0.2883,0.0879,0.1291,0.1562
0.292,0.3533,1.19,,,,,,,,,-0.4106,0.0634,0.1295,0.1442
0.292,0.334,1.21,,,,,,,,,-0.5162,0.0466,0.1425,0.1499
0.292,0.3163,1.23,,,,,,,,,-0.4233,0.0433,0.1202,0.1278
0.292,0.3002,1.25,,,,,,,,,-0.3176,0.0447,0.1074,0.1163
0.292,0.2854,1.27,,,,,,,,,-0.1719,0.0491,0.0971,0.1088
0.292,0.2718,1.29,,,,,,,,,-0.0793,0.0567,0.0973,0.1126
0.292,0.2592,1.31,,,,,,,,,-0.041,0.06,0.0984,0.1152
0.292,0.2476,1.33,,,,,,,,,0.0923,0.0634,0.0924,0.1121
0.292,0.2369,1.35,,,,,,,,,0.1033,0.0613,0.0859,0.1055
0.292,0.2269,1.37,,,,,,,,,0.1354,0.0572,0.0789,0.0975
0.292,0.2175,1.39,,,,,,,,,0.0961,0.0545,0.0738,0.0917
0.292,0.2088,1.41,,,,,,,,,0.2485,0.05,0.0706,0.0865
0.292,0.2007,1.43,,,,,,,,,0.2426,0.0467,0.0661,0.0809
0.292,0.193,1.45,,,,,,,,,0.1603,0.0404,0.0592,0.0717
0.292,0.1858,1.47,,,,,,,,,0.241,0.038,0.0519,0.0643
0.292,0.1791,1.49,,,,,,,,,0.251,0.0303,0.0439,0.0533
0.292,0.1727,1.51,,,,,,,,,0.302,0.0279,0.0387,0.0477
0.292,0.1667,1.53,,,,,,,,,0.255,0.0273,0.0382,0.047
0.292,0.1611,1.55,,,,,,,,,0.2815,0.0281,0.0393,0.0483
0.292,0.1557,1.57,,,,,,,,,0.2153,0.0286,0.038,0.0476
0.292,0.1506,1.59,,,,,,,,,0.1551,0.0301,0.0346,0.0459
0.348,0.4983,1.11,,,,,,,,,0.7435,0.4399,0.5701,0.7201
0.348,0.4683,1.13,,,,,,,,,0.5345,0.2261,0.3674,0.4314
0.348,0.4412,1.15,,,,,,,,,0.158,0.1296,0.2248,0.2595
0.348,0.4167,1.17,,,,,,,,,-0.3919,0.086,0.1277,0.154
0.348,0.3944,1.19,,,,,,,,,-0.567,0.0587,0.1481,0.1593
0.348,0.374,1.21,,,,,,,,,-0.3558,0.047,0.105,0.115
0.348,0.3554,1.23,,,,,,,,,-0.3921,0.0428,0.1066,0.1149
0.348,0.3383,1.25,,,,,,,,,-0.33,0.043,0.1023,0.111
0.348,0.3225,1.27,,,,,,,,,-0.1871,0.0457,0.0933,0.1039
0.348,0.3079,1.29,,,,,,,,,-0.059,0.051,0.0915,0.1048
0.348,0.2943,1.31,,,,,,,,,0.0837,0.0528,0.0903,0.1046
0.348,0.2817,1.33,,,,,,,,,0.1539,0.0543,0.0879,0.1033
0.348,0.27,1.35,,,,,,,,,0.1996,0.0563,0.0833,0.1005
0.348,0.2591,1.37,,,,,,,,,0.2508,0.0556,0.079,0.0966
0.348,0.2489,1.39,,,,,,,,,0.1613,0.0529,0.0755,0.0922
0.348,0.2393,1.41,,,,,,,,,0.1715,0.0514,0.0738,0.0899
0.348,0.2303,1.43,,,,,,,,,0.2439,0.0478,0.0715,0.086
0.348,0.2218,1.45,,,,,,,,,0.2122,0.0427,0.0656,0.0783
0.348,0.2139,1.47,,,,,,,,,0.2892,0.0369,0.0586,0.0693
0.348,0.2064,1.49,,,,,,,,,0.3688,0.0312,0.0521,0.0607
0.348,0.1993,1.51,,,,,,,,,0.2689,0.0271,0.0432,0.051
0.348,0.1926,1.53,,,,,,,,,0.3111,0.0266,0.0431,0.0506
0.348,0.1862,1.55,,,,,,,,,0.2966,0.0274,0.0445,0.0523
0.348,0.1802,1.57,,,,,,,,,0.1972,0.0307,0.0443,0.0539
0.348,0.1745,1.59,,,,,,,,,0.2028,0.0318,0.0396,0.0508
0.416,0.5428,1.11,,,,,,,,,0.8897,0.448,0.5143,0.6821
0.416,0.5128,1.13,,,,,,,,,0.3091,0.2385,0.3334,0.4099
0.416,0.4855,1.15,,,,,,,,,0.0386,0.1417,0.2033,0.2478
0.416,0.4606,1.17,,,,,,,,,-0.2216,0.0839,0.113,0.1407
0.416,0.4377,1.19,,,,,,,,,-0.3921,0.0586,0.11,0.1246
0.416,0.4167,1.21,,,,,,,,,-0.466,0.044,0.1121,0.1204
0.416,0.3973,1.23,,,,,,,,,-0.3552,0.0407,0.0916,0.1002
0.416,0.3793,1.25,,,,,,,,,-0.3012,0.0418,0.0898,0.0991
0.416,0.3626,1.27,,,,,,,,,-0.1521,0.0482,0.0842,0.097
0.416,0.3471,1.29,,,,,,,,,-0.0323,0.0519,0.0849,0.0995
0.416,0.3327,1.31,,,,,,,,,0.0318,0.0562,0.0861,0.1028
0.416,0.3192,1.33,,,,,,,,,0.1118,0.0537,0.0835,0.0993
0.416,0.3066,1.35,,,,,,,,,0.2384,0.0534,0.0804,0.0965
0.416,0.2948,1.37,,,,,,,,,0.261,0.0489,0.0778,0.0919
0.416,0.2837,1.39,,,,,,,,,0.2548,0.0475,0.0768,0.0903
0.416,0.2733,1.41,,,,,,,,,0.216,0.0465,0.0766,0.0896
0.416,0.2634,1.43,,,,,,,,,0.3232,0.0452,0.0758,0.0883
0.416,0.2542,1.45,,,,,,,,,0.2441,0.0417,0.0703,0.0817
